,geneSymbol,prob,probSD,SNR,pval_prob,qval_prob,pval_MutSig,qval_MutSig,protLength,uniquePosNdMAF,uniquePosNdMAFtumor,uniquePosNExactMatch,uniquePosNExactMatchtumor,casesN,SNRcorrected,MutSigPass,probPass,tumorType
639,SDHA,0.25,0.21289613,1.17428156,0.08319584,0.10812091,0.9942827,1,664,36,4,1,1,4,1.17428156,0,0,STAD
640,SDHB,0.333333333,0.277611362,1.200719349,0.15059247,0.164282695,0.6002567,1,280,12,3,1,1,3,1.200719349,0,0,STAD
641,SMAD4,0.555555556,0.162843254,3.411596995,0.026248688,0.08730992,1.78E-08,2.58E-05,552,55,5,1,1,8,3.411596995,1,0,STAD
642,SPRY4,0.333333333,0.269207118,1.23820401,0.13879306,0.154931788,0.4803861,1,299,16,3,1,1,3,1.23820401,0,0,STAD
643,TCF4,0.5,0.353717565,1.413557168,0.03819809,0.08730992,0.5891208,1,667,54,2,1,1,2,1.413557168,0,0,STAD
644,TP53,0.589041096,0.058742607,10.02749324,0.002849858,0.04559772,1.89E-15,3.96E-12,393,235,38,34,14,69,10.02749324,1,1,STAD
645,VCP,0.5,0.361720668,1.382282086,0.035448228,0.08730992,0.8715067,1,806,39,2,1,1,2,1.382282086,0,0,STAD
646,RNF43,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
647,XYLT2,NA,NA,NA,NA,NA,6.66E-16,1.79E-12,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
648,ARID1A,NA,NA,NA,NA,NA,1.22E-15,2.88E-12,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
649,B2M,NA,NA,NA,NA,NA,5.88E-15,1.11E-11,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
650,LMAN1,NA,NA,NA,NA,NA,3.59E-11,6.15E-08,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
651,LARP4B,NA,NA,NA,NA,NA,2.71E-10,4.26E-07,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
652,BZRAP1,NA,NA,NA,NA,NA,4.92E-08,6.62E-05,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
653,CDH1,NA,NA,NA,NA,NA,1.81E-07,0.00021307,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
654,ZNF43,NA,NA,NA,NA,NA,1.12E-06,0.000962146,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
655,HLA-A,NA,NA,NA,NA,NA,1.93E-06,0.001583708,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
656,APC,NA,NA,NA,NA,NA,2.26E-06,0.001774077,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
657,PLEKHA6,NA,NA,NA,NA,NA,2.62E-06,0.001898366,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
658,HLA-C,NA,NA,NA,NA,NA,5.87E-06,0.003818932,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
659,JARID2,NA,NA,NA,NA,NA,6.75E-06,0.004244972,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
660,CTCF,NA,NA,NA,NA,NA,1.02E-05,0.005968996,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
661,CASP8,NA,NA,NA,NA,NA,1.04E-05,0.005968996,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
662,CD4,NA,NA,NA,NA,NA,1.20E-05,0.006639376,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
663,FBXW7,NA,NA,NA,NA,NA,2.44E-05,0.0128058,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
664,DCLK1,NA,NA,NA,NA,NA,3.40E-05,0.01685773,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
665,PAFAH1B1,NA,NA,NA,NA,NA,6.27E-05,0.02956967,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
666,ZBTB20,NA,NA,NA,NA,NA,7.69E-05,0.03539169,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
667,DTNBP1,NA,NA,NA,NA,NA,9.30E-05,0.04176737,NA,NA,NA,NA,NA,NA,NA,1,0,STAD
668,BRAF,1,0,Inf,0.01639918,0.106644668,0,0,766,53,2,5,2,235,4.524395864,1,0,THCA
669,KRAS,0.25,0.221023984,1.131098966,0.515224239,0.515224239,0.001933829,1,189,20,2,4,1,4,1.131098966,0,0,THCA
670,PIK3CA,0.5,0.348366343,1.435270685,0.090745463,0.156067197,0.192271,1,1068,85,2,13,1,2,1.435270685,0,0,THCA
671,TSHR,0.5,0.355823848,1.405189684,0.12959352,0.16662024,0.3394506,1,764,47,2,1,1,2,1.405189684,0,0,THCA
672,HRAS,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,THCA
673,NRAS,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,THCA
674,SVOPL,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,THCA
