"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"COL2A1",0.00241545893719807,0.00236319445899471,1.02211602942975,0.0775961201939903,0.155192240387981,NA,NA,1487,41,2,3,1,0.048780487804878,0.048780487804878,2
"PAX3",0.00241545893719807,0.00246331223287143,0.980573597193736,0.242537873106345,0.242537873106345,NA,NA,479,52,2,3,1,0.0384615384615384,0.048780487804878,2
