"","prob","probSD","SNR","pval_prob","qval_prob","pval_MutSig","qval_MutSig","protLength","uniquePosNdMAF","uniquePosNdMAFtumor","uniquePosNExactMatch","uniquePosNExactMatchtumor","pval_FET","qval_FET","casesN"
"CNGA3",0.00239234449760766,0.00246075514099398,0.972199329284469,0.0604969751512424,0.0604969751512424,0.4958847,1,694,78,6,5,1,2.842108105266e-07,8.526324315798e-07,6
"NTRK1",0.00241545893719807,0.00248406625460339,0.972381043670563,0.0172491375431228,0.0420728963551822,0.6840618,1,796,14,2,1,1,0.142857142857143,0.142857142857143,2
"SERPINC1",0.00241545893719807,0.0023813080025481,1.01434125052846,0.0280485975701215,0.0420728963551822,1,1,464,49,2,6,1,0.0408163265306123,0.0612244897959184,2
