gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
PRB2	175992	673	-18	111960	39840	0	10	0	0	50	8	3004960	1.400127e-05	1.330263e-01
CGB7	2070141	200	35	45440	15520	0	4	0	0	50	12	2038520	1.410521e-05	1.330263e-01
PIK3CA	401889	613	11	315760	78680	0	14	0	0	50	3	2453360	6.781848e-05	4.263974e-01
CSAG1	NaN	NaN	NaN	23280	6600	0	5	0	0	50	11	4461160	1.090970e-04	5.144471e-01
CDC27	955548	395	18	243840	63960	0	7	1	0	50	6	2449320	1.495569e-04	5.641886e-01
XAGE5	476232	NaN	26	33240	8160	0	5	0	0	50	11	2866000	5.489480e-04	1
ANPEP	934542	212	37	280000	77600	0	6	1	0	50	6	2357280	1.011388e-03	1
TMCC1	614377	357	40	184360	52520	0	3	0	0	50	2	2764480	1.193234e-03	1
PTEN	259678	300	34	121120	28160	0	3	0	0	50	6	2049200	1.237206e-03	1
CRIPAK	1018381	507	41	120800	40120	0	7	0	0	50	9	2747760	2.018056e-03	1
TMCO2	627703	373	18	52280	14560	0	3	0	0	50	3	2415360	2.308437e-03	1
SPHK2	1597109	242	31	173520	64680	0	3	1	0	50	4	2335000	2.886518e-03	1
SAA2	601955	371	17	38240	10360	0	3	0	0	50	4	2398400	2.981605e-03	1
IL13RA1	221322	NaN	44	128080	31040	0	2	0	0	50	3	2805160	3.772095e-03	1
B2M	673122	428	36	35440	9440	0	2	0	0	50	5	2251520	3.783772e-03	1
DHRS12	252271	384	33	96560	25360	0	2	0	0	50	3	2133360	3.794777e-03	1
NFE2L2	372300	145	36	174120	45960	0	7	0	0	50	9	2143400	4.655849e-03	1
SUMO1	371912	192	41	31920	6960	0	2	0	0	23	1	1140480	4.752011e-03	1
TRIM41	1034999	415	35	186880	54200	0	3	0	0	50	2	1673160	4.881819e-03	1
MAGEC1	17504	NaN	-11	317800	94280	0	10	1	0	50	16	3653880	5.371042e-03	1
ACPT	652250	593	27	117760	41000	0	3	0	0	50	17	2524400	5.842195e-03	1
UGT3A2	173490	614	-9	150600	40920	0	3	0	0	50	5	2863000	6.082656e-03	1
C11orf52	437513	221	22	36840	9480	0	2	0	0	50	8	2096680	6.308644e-03	1
OR5H6	391500	849	-2	91400	25960	0	3	0	0	50	6	2325360	6.945320e-03	1
PRG4	265627	419	-24	387000	124800	0	21	1	0	50	11	3019280	7.165614e-03	1
OR5M3	NaN	NaN	NaN	86320	24320	0	5	0	0	50	11	4478880	7.544505e-03	1
PRRG1	81601	NaN	3	70600	19280	0	2	0	0	50	6	3076600	8.529690e-03	1
LYZL1	172530	439	3	57480	14880	0	3	0	0	50	9	1929320	1.007538e-02	1
TPSAB1	1275017	294	21	77880	23640	0	3	0	0	50	4	2463720	1.009114e-02	1
NCKAP1	350474	419	10	338320	85160	0	4	0	0	50	3	2712240	1.039336e-02	1
IQCG	612221	410	33	133520	31120	0	3	0	0	50	4	2234600	1.055825e-02	1
SEH1L	436900	355	69	123840	33720	0	2	0	0	50	5	2228040	1.085172e-02	1
TBP	425191	598	-16	98360	26920	0	2	1	0	34	2	1242360	1.087920e-02	1
DNAJB1	1008795	204	26	96480	27480	0	5	0	0	50	10	2308640	1.124823e-02	1
AZGP1	1584669	391	36	86400	22920	0	5	1	0	50	12	2125600	1.195351e-02	1
SS18L1	861466	288	-13	117920	30040	0	2	0	0	50	7	2161920	1.245490e-02	1
SPOPL	85990	638	15	117520	28760	0	3	1	0	50	3	2193880	1.248406e-02	1
TMEM51	379959	432	16	70520	21400	0	4	0	0	50	5	2283800	1.250546e-02	1
UQCRC2	646330	424	43	132200	37480	0	3	0	0	50	4	3134560	1.304281e-02	1
SPRR2E	687290	704	30	21120	5640	0	1	0	0	50	4	2407760	1.392068e-02	1
VEZF1	854628	182	27	148080	42240	0	2	0	0	50	4	2050960	1.403774e-02	1
B3GNT8	1104034	376	38	105720	38040	0	2	0	0	50	1	1976400	1.541711e-02	1
APOC1	1003719	196	6	24920	6760	0	1	0	0	50	1	1923160	1.611219e-02	1
MAPK1	458136	299	47	106240	27560	0	3	0	0	50	2	2235160	1.622983e-02	1
POU4F1	41876	1004	-1	113120	38560	0	3	0	0	50	15	2020800	1.665966e-02	1
RASGEF1A	424273	492	-11	142400	36880	0	2	0	0	50	2	2872320	1.759537e-02	1
ERP27	341752	426	8	80760	21000	0	3	0	0	50	5	2163120	1.872234e-02	1
ZFP36	1579611	230	36	86360	32080	0	3	0	0	50	3	1934160	1.916718e-02	1
PPP1R12A	222118	398	-8	302320	80840	0	4	0	0	50	4	2574960	1.936781e-02	1
SSX5	590474	NaN	11	70120	16520	0	3	0	0	50	7	2263600	1.941403e-02	1
FETUB	508316	436	45	108920	32080	0	2	0	0	50	6	3143400	1.963041e-02	1
SPANXN5	476232	NaN	26	21880	4880	0	1	0	0	50	11	2866000	2.041679e-02	1
NBPF3	563178	283	37	187480	47000	0	4	1	0	50	6	2294440	2.118756e-02	1
PRR21	315906	569	21	102680	37600	0	3	0	0	50	5	2740240	2.140124e-02	1
RNF149	442031	259	20	113200	34040	0	3	0	0	50	4	2164160	2.160605e-02	1
PTH2	2173457	290	44	26600	10720	0	2	0	0	50	5	2230400	2.161490e-02	1
HPR	426658	372	14	100600	27200	0	2	0	0	50	6	2596000	2.169266e-02	1
ZNF750	711691	350	16	197600	63520	0	5	0	0	40	3	1526160	2.171245e-02	1
YWHAZ	1074893	213	50	72920	18040	0	2	0	0	50	6	2131560	2.182137e-02	1
TP63	140525	403	15	214360	56600	0	4	1	0	50	2	1898520	2.329924e-02	1
OR1J1	373314	646	3	88800	27360	0	3	0	0	50	14	2511160	2.405310e-02	1
NFKBID	1060028	321	47	87080	29800	0	2	0	0	27	1	1300640	2.426730e-02	1
CLEC11A	652250	593	27	89720	28360	0	3	0	0	50	17	2524400	2.482014e-02	1
KRT2	1441383	464	29	180200	54280	0	3	0	0	50	5	2358640	2.515078e-02	1
MCM7	1503181	254	41	205600	60320	0	2	0	0	50	8	3058840	2.515598e-02	1
FKBP9	375055	235	13	163160	46720	0	2	0	0	50	2	2783480	2.533542e-02	1
SMR3B	264684	915	25	22000	7760	0	1	0	0	50	7	1958600	2.606463e-02	1
C15orf56	NaN	NaN	NaN	42720	16320	0	1	0	0	50	11	4470880	2.623500e-02	1
FOXRED2	1191841	195	30	192000	58320	0	2	0	0	50	4	2107000	2.629140e-02	1
MTL5	712475	354	47	147400	40400	0	2	0	0	50	9	2351080	2.655814e-02	1
CTNNBIP1	770684	193	34	24520	6440	0	1	0	0	50	8	2182720	2.706839e-02	1
ATP2B1	235578	418	9	367560	100080	0	3	0	0	50	1	2479360	2.728647e-02	1
TBL2	955146	171	48	127360	36800	0	2	0	0	50	4	2539120	2.730371e-02	1
MGAT4C	15683	881	-41	138760	35360	0	3	0	0	50	5	1833400	2.777058e-02	1
SUMO3	690574	213	62	31440	7440	0	2	0	0	50	3	1818360	2.846174e-02	1
PPCDC	887844	262	43	59600	16600	0	1	0	0	50	2	2988240	2.920868e-02	1
STXBP4	132396	845	-50	163680	43440	0	2	0	0	50	7	2229560	3.037716e-02	1
NDUFA3	735613	439	-53	26040	6480	0	1	0	0	27	1	1101280	3.099063e-02	1
OSTC	160719	574	14	43680	12000	0	1	0	0	50	3	2267960	3.160359e-02	1
LYG2	473611	633	32	62880	16200	0	1	0	0	50	2	2937160	3.200505e-02	1
NDUFAF2	205876	502	11	50960	11920	0	1	0	0	50	4	2797600	3.392423e-02	1
MMGT1	253719	NaN	20	37480	11480	0	1	0	0	50	4	2032600	3.477615e-02	1
HIST1H4F	390169	544	57	28080	9600	0	2	0	0	50	5	1557600	3.527233e-02	1
ZFAND5	314501	333	18	63920	15880	0	2	0	0	50	3	2980600	3.684355e-02	1
CD99	NaN	NaN	NaN	56760	14520	0	1	0	0	50	11	4469080	3.708585e-02	1
SVIP	52085	1031	2	23360	6400	0	1	0	0	50	15	2183320	3.782252e-02	1
MUC17	1124475	272	43	1200360	423480	0	14	5	0	50	10	2817640	3.870416e-02	1
ATP5J	534575	641	29	36120	8640	0	1	0	0	26	0	1133600	3.871037e-02	1
LCE2A	169158	818	24	30480	8520	0	1	0	0	38	5	1569240	3.905803e-02	1
DIRAS1	1354357	291	25	56040	16080	0	2	0	0	50	3	2417720	3.913549e-02	1
TAC1	343278	854	-15	40400	9280	0	1	0	0	50	5	2136920	3.934259e-02	1
RNF168	1173736	125	34	165440	43120	0	3	0	0	50	6	2622800	3.947826e-02	1
H3F3A	866965	237	23	38560	12200	0	2	0	0	50	4	1803640	3.979696e-02	1
MRFAP1	501655	278	47	36280	10280	0	1	0	0	50	7	2212360	4.027319e-02	1
NKX3-1	378220	544	16	65080	20240	0	1	0	0	50	3	2797640	4.039177e-02	1
PABPC3	436184	650	30	175800	51960	0	2	0	0	50	4	2925680	4.076309e-02	1
OLA1	389793	418	26	118600	28880	0	2	0	0	50	7	2509560	4.121978e-02	1
EDEM2	1346435	168	46	166520	47200	0	3	0	0	50	4	2614440	4.135309e-02	1
GJB2	405200	472	50	64200	18000	0	1	0	0	50	4	2862680	4.175320e-02	1
SIRPB1	421731	424	39	216840	66120	0	3	0	0	50	1	2472560	4.204865e-02	1
HSD17B4	302141	472	27	217280	59080	0	4	2	0	50	7	2115520	4.260856e-02	1
RGS2	307992	477	-15	63800	14680	0	1	0	0	50	3	2581200	4.263474e-02	1
C19orf59	688482	384	31	57360	13440	0	1	0	0	50	4	2544880	4.277767e-02	1
ZNF283	464802	286	11	199600	46880	0	3	0	0	50	2	2580240	4.368170e-02	1
TDGF1	277267	528	52	56000	15160	0	2	0	0	50	2	1997880	4.378107e-02	1
POTEC	NaN	NaN	NaN	161960	38320	0	3	1	0	50	12	4492880	4.474390e-02	1
LCN10	1898901	190	39	57920	17080	0	1	0	0	50	6	2796480	4.482245e-02	1
FOXO1	237876	449	55	182960	54160	0	2	0	0	50	3	2588280	4.521926e-02	1
MUC4	920866	365	49	339640	95120	0	10	2	0	50	8	2745080	4.617220e-02	1
CCDC148	133882	759	-5	184000	41360	0	2	0	0	50	4	2879160	4.622166e-02	1
SPATA7	140042	800	-13	176520	45000	0	2	0	0	43	9	2189560	4.624642e-02	1
HIST1H2BI	390169	544	57	35080	10880	0	2	0	0	50	5	1557600	4.657092e-02	1
IMMP1L	124843	916	-4	49720	13040	0	1	0	0	50	4	2050080	4.684531e-02	1
CTAGE1	162557	417	-9	211440	57120	0	3	0	0	50	4	2338480	4.721449e-02	1
VWA3A	577505	269	45	352360	90320	0	3	1	0	50	5	2246960	4.847769e-02	1
WFS1	418118	599	48	248920	75560	0	2	0	0	50	3	1871680	4.860215e-02	1
MED31	663953	424	9	39960	9000	0	1	0	0	50	8	2056680	4.896158e-02	1
SLC2A3	122883	305	13	140840	42400	0	3	0	0	48	5	2000440	4.957621e-02	1
SIGLEC10	393294	583	17	196120	59960	0	3	0	0	50	3	2632080	5.084902e-02	1
FCRL1	113186	829	26	131680	35840	0	4	0	0	50	12	2205240	5.310924e-02	1
APLF	227462	617	22	150760	37880	0	2	0	0	50	3	2030440	5.315695e-02	1
MPZL1	546300	319	16	77600	22000	0	1	0	0	50	2	2355240	5.335482e-02	1
TMEM52	1434423	233	27	57760	20000	0	1	0	0	50	5	2257880	5.345617e-02	1
PTMA	1003689	202	24	35160	7080	0	1	0	0	50	11	2323680	5.366546e-02	1
NDUFA5	88676	779	-25	35320	8720	0	1	0	0	50	13	2394160	5.405910e-02	1
CBX1	1205950	255	20	55400	13480	0	2	0	0	50	9	2957120	5.458505e-02	1
SPRY3	NaN	NaN	NaN	79880	24160	0	1	0	0	50	11	4478720	5.465980e-02	1
LHX6	220092	528	30	118320	34560	0	2	0	0	50	8	2268920	5.475215e-02	1
EBI3	2132502	244	39	64760	20200	0	1	0	0	50	4	2304560	5.509179e-02	1
DCAF16	271201	1073	21	60000	18120	0	1	0	0	50	5	2367080	5.537388e-02	1
DR1	699815	223	13	51400	13280	0	2	0	0	50	8	2603720	5.553885e-02	1
C22orf24	531528	344	-1	46280	12640	0	1	0	0	50	8	2232480	5.596222e-02	1
NEFH	723458	203	35	285760	83480	0	6	2	0	50	9	2494640	5.597892e-02	1
TMEM217	626559	236	44	67240	17000	0	1	0	0	50	5	2551200	5.600166e-02	1
PPP1R14D	1036414	172	51	62160	12360	0	1	0	0	50	4	2283640	5.670055e-02	1
ROCK1	185443	407	-6	409440	93720	0	3	1	0	50	4	2276080	5.687225e-02	1
RPL13A	2173457	290	44	59800	17240	0	2	0	0	50	5	2230400	5.701862e-02	1
NTNG2	361444	509	37	150920	43120	0	3	0	0	50	4	2021840	5.817430e-02	1
PLEKHA1	255946	174	10	120120	30960	0	2	0	0	50	7	2125440	5.836545e-02	1
DGKI	196508	861	-7	313720	86000	0	2	0	0	46	4	2499160	5.848121e-02	1
LAMP3	296133	596	24	116320	36200	0	2	0	0	50	9	3117400	5.935881e-02	1
LIX1	382123	614	38	82280	22000	0	1	0	0	50	3	2589520	5.937276e-02	1
CAPNS1	978272	326	6	80480	21520	0	2	0	0	50	0	1697000	6.059602e-02	1
DNAJC5	1157316	206	36	58440	15120	0	1	0	0	50	5	2091400	6.084440e-02	1
C1orf131	383866	603	14	86240	22960	0	1	0	0	50	3	2666560	6.091298e-02	1
ZNF43	123927	1235	-66	237200	55840	0	12	2	0	38	20	1422200	6.092385e-02	1
COX4I2	837796	213	18	51200	12640	0	1	0	0	50	7	2124440	6.114960e-02	1
CCAR1	859993	256	45	340280	85600	0	4	0	0	50	4	2732920	6.123871e-02	1
AK7	328475	560	14	215080	53960	0	3	0	0	50	5	2588880	6.172324e-02	1
OR5AR1	NaN	NaN	NaN	86600	25120	0	1	0	0	50	11	4479680	6.199231e-02	1
AQP2	1033911	220	48	73480	26120	0	2	0	0	50	4	2361240	6.223795e-02	1
ATP5SL	1104034	376	38	82320	18000	0	1	0	0	50	1	1976400	6.224491e-02	1
TXNDC2	431025	168	34	157160	43480	0	8	1	0	50	12	2225480	6.281258e-02	1
NF2	734742	149	38	182280	45000	0	2	0	0	50	4	2462200	6.308686e-02	1
MTMR1	288573	NaN	9	194480	52480	0	2	0	0	50	3	2272400	6.453495e-02	1
MAEL	264649	681	-11	129240	32880	0	2	0	0	50	0	2572240	6.565900e-02	1
DERL1	470881	412	33	74320	19760	0	1	0	0	50	4	2299040	6.587208e-02	1
ABCF1	2080582	271	32	251640	64680	0	7	0	0	50	9	2430640	6.636889e-02	1
REXO2	98814	612	-12	70960	17600	0	1	0	0	50	7	2855520	6.666501e-02	1
MOSPD3	1884430	247	60	64880	22480	0	2	0	0	50	7	2581800	6.682285e-02	1
S100A1	NaN	NaN	NaN	28040	7120	0	1	0	0	50	11	4461680	6.764488e-02	1
PEX5L	307645	761	5	183360	49080	0	2	0	0	50	6	2714800	6.785319e-02	1
TBC1D29	488195	329	28	43440	13080	0	1	0	0	50	9	1900560	6.828778e-02	1
DNLZ	1194160	258	28	48760	16880	0	1	0	0	50	8	1891240	6.857186e-02	1
RGS17	158803	677	1	62720	15160	0	2	0	0	50	6	2371960	6.881223e-02	1
ANO6	313473	719	1	296920	75200	0	3	0	0	50	3	2471160	6.949348e-02	1
RNF32	299200	635	-10	106160	28360	0	2	0	0	50	1	2335600	6.977150e-02	1
HLA-B	2552688	347	28	103880	30400	0	1	0	0	50	5	3315800	7.002516e-02	1
RASSF3	450247	476	17	70320	17640	0	2	0	0	50	5	2338280	7.016725e-02	1
KLRC2	378365	334	-0	69000	17160	0	1	0	0	50	6	2438360	7.028831e-02	1
C14orf166	176784	471	22	73560	18000	0	1	0	0	50	4	2153160	7.110828e-02	1
OR10G9	107524	830	-5	84920	27160	0	2	0	0	50	3	2208520	7.183082e-02	1
B4GALT5	1040657	132	55	113680	30200	0	1	0	0	50	1	2395760	7.203537e-02	1
FBXW7	117295	501	51	244160	65440	0	2	0	0	50	3	2697560	7.220865e-02	1
PNP	464497	395	17	83640	23160	0	1	0	0	50	4	2402880	7.329563e-02	1
PSMF1	524116	527	14	78160	23120	0	1	0	0	50	4	2263200	7.358842e-02	1
NAA15	389880	299	26	261120	60120	0	2	0	0	50	11	2742440	7.424425e-02	1
RNASEH1	254257	NaN	15	84800	22120	0	1	0	0	50	4	2357600	7.515333e-02	1
KIF2C	574317	191	43	215280	55680	0	3	0	0	50	7	2294640	7.609843e-02	1
ARIH2	1818938	241	37	150400	34160	0	2	0	0	50	10	2546360	7.666235e-02	1
GTF2I	908884	151	45	299680	76280	0	2	0	0	44	1	2515160	7.668146e-02	1
MRPS21	1213150	197	38	26200	6440	0	1	0	0	50	3	2367600	7.708132e-02	1
TMEM30A	394127	423	-3	104760	28440	0	1	0	0	50	2	2346400	7.768272e-02	1
ABRA	113560	708	18	108320	29920	0	1	0	0	50	1	2160680	7.833044e-02	1
TCHH	527465	349	35	561560	138760	0	18	1	0	50	5	2426360	7.860273e-02	1
GEMIN8	121538	NaN	35	71320	17600	0	1	0	0	50	7	2329080	7.865852e-02	1
SPRED3	1467279	253	-0	114880	40280	0	1	0	0	50	1	2245800	7.914720e-02	1
FAM24A	290558	619	14	31000	8120	0	1	0	0	18	4	812400	7.922061e-02	1
SFN	1022828	188	30	69840	20040	0	2	0	0	50	5	2138680	8.004702e-02	1
DYM	241451	414	57	196520	52360	0	2	0	0	50	5	2461640	8.015503e-02	1
CXorf21	81961	NaN	21	86240	22840	0	1	0	0	50	5	2506440	8.051118e-02	1
SLC22A8	2447828	398	48	153800	46960	0	2	1	0	50	5	1851080	8.062806e-02	1
PSG1	394104	283	-23	124280	35440	0	2	0	0	50	2	2694840	8.067608e-02	1
CACNG3	360425	348	8	89640	25560	0	1	0	0	50	4	2350400	8.083703e-02	1
FANK1	207005	738	-8	102000	27360	0	2	0	0	50	4	2727080	8.176788e-02	1
PRB4	311837	673	-1	67640	23320	0	2	0	0	50	4	1845680	8.283241e-02	1
RCAN3	470059	348	28	71160	17880	0	2	0	0	50	6	2314160	8.287610e-02	1
CA14	1213150	197	38	99240	27240	0	2	0	0	50	3	2367600	8.318209e-02	1
EIF4A1	1957426	194	24	119520	31920	0	2	1	0	50	11	2469160	8.333815e-02	1
DRG1	737051	237	38	106560	29760	0	2	0	0	50	3	2541000	8.335718e-02	1
BBOX1	178328	527	-18	114480	28560	0	3	0	0	50	4	2923320	8.407054e-02	1
STX6	217489	398	22	76280	19240	0	1	0	0	50	6	2215720	8.449131e-02	1
HOXC5	1185281	279	54	63600	17400	0	2	0	0	50	7	2166400	8.455986e-02	1
ZIC5	323784	500	35	178600	60920	0	4	1	0	50	5	1992320	8.457259e-02	1
B3GALT4	1456953	262	30	101160	35280	0	2	0	0	50	3	2353400	8.465208e-02	1
OTOP1	178901	584	34	170480	52840	0	2	0	0	50	7	2312240	8.494148e-02	1
SPRR1B	687290	704	30	25920	6960	0	1	0	0	50	4	2407760	8.500759e-02	1
ATP5L2	NaN	NaN	NaN	27440	8920	0	1	0	0	50	11	4463480	8.501298e-02	1
ICAM2	1455216	404	25	77920	23360	0	1	0	0	50	5	2102240	8.507775e-02	1
REM1	605825	450	-76	81880	27200	0	1	0	0	50	11	3169560	8.509412e-02	1
TCEB3B	120831	639	34	208560	62880	0	5	2	0	50	8	2263800	8.512946e-02	1
PANK3	413558	432	32	106800	29640	0	2	0	0	50	2	2199120	8.546351e-02	1
EMD	2277674	NaN	40	73360	20840	0	2	0	0	50	6	2311280	8.552273e-02	1
IL32	1626425	234	44	57400	14240	0	1	0	0	50	15	2545840	8.630457e-02	1
CPNE3	192772	1166	22	160280	40600	0	4	0	0	50	8	2430200	8.714488e-02	1
FOXL2	345888	340	21	101320	34400	0	2	0	0	50	4	2433160	8.744204e-02	1
HSPBAP1	424676	412	39	142560	36840	0	2	0	0	50	1	2592960	8.748287e-02	1
RHO	779764	210	59	99400	28400	0	1	0	0	50	3	2147880	8.793374e-02	1
RAB6A	549152	224	37	73360	18440	0	1	0	0	50	9	2477280	8.804131e-02	1
LIN28A	1046693	181	33	60560	16480	0	1	0	0	50	8	2037880	8.874981e-02	1
CYP20A1	417679	298	23	136800	35640	0	2	0	0	50	6	2289200	8.936513e-02	1
TSPAN8	233516	489	-31	70560	18480	0	2	0	0	50	9	2496520	8.946382e-02	1
SCCPDH	439136	282	3	125000	35080	0	1	0	0	50	3	2743320	8.964025e-02	1
MTR	407246	773	-13	372720	98400	0	2	0	0	50	3	2115600	9.076013e-02	1
C6orf223	1407986	199	47	74720	19600	0	1	0	0	27	3	1634080	9.121406e-02	1
P2RY13	67416	548	15	100320	28200	0	2	0	0	50	5	2523800	9.149652e-02	1
STXBP1	1015071	168	40	187240	49520	0	2	0	0	50	10	3176560	9.151649e-02	1
HMG20B	2160126	269	39	93120	25680	0	1	0	0	50	5	2449320	9.156218e-02	1
ECHDC1	120722	889	-4	91440	22080	0	1	0	0	50	6	2466720	9.162201e-02	1
RPL36AL	563227	409	-4	31160	8080	0	1	0	0	50	3	2269000	9.169651e-02	1
CXorf48	228366	NaN	23	76640	21400	0	1	0	0	50	7	2178920	9.194143e-02	1
TP53	2069567	213	34	123560	34120	0	2	0	0	50	11	2073000	9.198314e-02	1
C17orf66	620019	235	8	168120	44160	0	2	0	0	50	9	2747360	9.261823e-02	1
S100B	530282	377	28	28080	6240	0	1	0	0	50	3	2376400	9.280998e-02	1
SUMO4	NaN	NaN	NaN	27600	7200	0	1	0	0	50	11	4461760	9.291909e-02	1
POLR2F	1370748	203	50	38120	9880	0	1	0	0	37	13	1718240	9.293983e-02	1
SDCBP	200469	608	11	88080	23760	0	2	0	0	50	6	2573480	9.302619e-02	1
C12orf43	1225663	380	40	76200	21120	0	2	0	0	50	5	2006600	9.325984e-02	1
ARPC5	608114	407	24	43880	12280	0	1	0	0	50	1	2664880	9.355338e-02	1
PRB1	175992	673	-18	90480	30720	0	1	0	0	50	8	3004960	9.369335e-02	1
TMEM150A	1158965	170	43	77160	23640	0	1	0	0	50	7	2209320	9.425955e-02	1
SIRT6	2256881	244	42	99560	32200	0	1	0	0	50	5	2414680	9.471766e-02	1
PPOX	728669	234	37	134360	43720	0	1	0	0	50	2	2531280	9.492469e-02	1
ELOVL5	379445	287	27	88800	22560	0	1	0	0	50	10	2906600	9.493929e-02	1
SLC25A3	487754	218	21	115800	33360	0	2	0	0	50	1	1919000	9.535355e-02	1
HOXC4	1185281	279	54	75280	21320	0	1	0	0	50	7	2166400	9.552969e-02	1
TMEM55A	104917	935	1	74080	21680	0	1	0	0	50	10	2399400	9.584418e-02	1
SERPINB12	190401	339	20	119080	29720	0	1	0	0	50	2	2243320	9.603608e-02	1
KCNE3	633655	283	23	29080	8840	0	1	0	0	50	6	2635000	9.638423e-02	1
BIN1	324544	324	17	178920	49440	0	1	0	0	50	1	2954920	9.656486e-02	1
RAD23B	255220	467	1	118120	33800	0	2	0	0	50	4	2820960	9.662345e-02	1
ELMOD2	125708	752	7	90040	19640	0	2	0	0	50	9	2692440	9.715152e-02	1
TBC1D7	258474	423	35	87120	22080	0	1	0	0	50	5	2090760	9.718676e-02	1
KLHDC3	1200368	259	40	111960	30720	0	2	0	0	50	4	2551320	9.760942e-02	1
OXNAD1	188483	517	34	90840	25200	0	2	0	0	50	5	2283560	9.773770e-02	1
PDGFC	39685	595	-24	99920	27040	0	2	0	0	50	17	2184320	9.778361e-02	1
ZBTB38	405071	178	40	339840	90960	0	6	0	0	39	2	1729000	9.832617e-02	1
PTPLA	488883	383	4	83600	23560	0	1	0	0	50	5	2052760	9.833329e-02	1
SLC16A3	2959536	193	27	127160	42520	0	1	0	0	50	3	2506040	9.854206e-02	1
CKMT2	182569	777	30	120360	35160	0	1	0	0	50	3	2450840	9.862325e-02	1
YAF2	173442	585	2	53080	13760	0	2	0	0	50	8	2253360	9.896820e-02	1
CLVS2	138384	1106	-26	94320	25680	0	2	0	0	50	9	3218560	9.906199e-02	1
MAGT1	549266	NaN	20	108160	28880	0	2	0	0	50	5	2590800	9.917845e-02	1
GNB2L1	1034999	415	35	91640	26440	0	1	0	0	50	2	1673160	9.933084e-02	1
CCDC78	1207790	194	33	126440	37840	0	1	0	0	50	3	2529080	9.954560e-02	1
SMARCE1	1042327	196	19	123400	29720	0	2	0	0	50	5	1806240	9.985625e-02	1
IFNGR1	117339	309	35	141480	37920	0	2	0	0	50	9	2196240	1.001626e-01	1
MLF1	196830	940	-10	81200	19000	0	1	0	0	50	6	2242800	1.006061e-01	1
RAMP1	571081	382	23	42000	12600	0	1	0	0	50	2	2519800	1.006500e-01	1
PITPNA	1362942	220	31	83560	19280	0	1	0	0	50	7	2207160	1.011610e-01	1
CLCA4	279475	692	-14	265600	72080	0	2	0	0	50	2	2174320	1.012941e-01	1
SPTLC2	500852	320	40	162400	45560	0	2	0	0	50	6	1884040	1.013087e-01	1
C19orf18	1252385	750	-19	64560	15840	0	1	0	0	50	17	2686560	1.013372e-01	1
AKR1C2	343868	608	-13	100280	26800	0	2	0	0	50	2	1794800	1.025664e-01	1
SDHA	1040169	530	24	190120	56000	0	4	2	0	50	9	2096360	1.028218e-01	1
ALG6	133567	477	2	150160	38960	0	2	0	0	50	9	2034400	1.031719e-01	1
ZNF200	1493009	253	42	114920	29560	0	1	0	0	50	7	3015880	1.037147e-01	1
PHB2	2704950	211	47	86600	25240	0	1	0	0	50	11	2988960	1.038236e-01	1
ACOT12	114956	831	16	163360	43760	0	2	0	0	37	3	1485600	1.040034e-01	1
KRTAP4-1	996799	468	-7	36960	9840	0	1	0	0	50	23	1926000	1.041407e-01	1
IRF3	1733181	195	36	120920	36760	0	1	0	0	50	4	2552040	1.049862e-01	1
ADH1B	332785	854	8	108080	31360	0	1	0	0	50	4	2255160	1.050117e-01	1
F2RL3	901964	305	31	100320	39120	0	2	0	0	50	7	2522280	1.051785e-01	1
METTL5	338901	489	35	67440	15960	0	2	0	0	50	6	1755280	1.053861e-01	1
FAM71F1	875359	304	30	99480	27840	0	1	0	0	50	5	2217800	1.055316e-01	1
ZNF680	199707	1110	-18	168080	39040	0	3	0	0	50	6	2529320	1.057573e-01	1
YPEL5	141747	692	18	34920	9960	0	1	0	0	50	2	2081600	1.060091e-01	1
CT47B1	NaN	NaN	NaN	83240	25720	0	2	1	0	28	2	1490040	1.065349e-01	1
TRA2A	432206	231	23	80840	24400	0	1	0	0	50	7	2051160	1.067131e-01	1
POLDIP2	1405196	214	10	106800	30720	0	1	0	0	50	6	2528080	1.070681e-01	1
USP37	841802	168	42	290560	73280	0	3	0	0	50	4	2130800	1.078751e-01	1
RECK	866055	155	44	286280	73480	0	2	0	0	50	4	2664280	1.082634e-01	1
HDGF	1649536	208	53	90480	23520	0	1	0	0	50	7	2440040	1.087495e-01	1
HIST1H1B	228884	634	40	62040	20160	0	2	0	0	32	3	1106880	1.087559e-01	1
PPTC7	890955	144	38	86800	25400	0	2	0	0	50	7	2339000	1.092162e-01	1
CNIH	399536	371	17	43440	10800	0	1	0	0	50	2	2437480	1.092249e-01	1
TTR	294098	541	20	41720	13000	0	1	0	0	50	2	2494840	1.092510e-01	1
SERPINI1	145987	567	-12	121920	29880	0	1	0	0	50	5	2672200	1.094123e-01	1
TFF3	313101	464	90	27360	7800	0	1	0	0	50	4	1913760	1.105386e-01	1
WDR74	2342595	181	71	111760	32720	0	1	0	0	50	7	2728120	1.107128e-01	1
BSG	1647685	255	-8	114160	32960	0	1	0	0	50	3	2108640	1.111878e-01	1
SIGLEC8	393294	583	17	139120	44000	0	1	0	0	50	3	2632080	1.117931e-01	1
FBXO25	173778	838	-19	113640	23640	0	2	0	0	50	4	2359520	1.118704e-01	1
LETMD1	564607	155	40	104320	29720	0	1	0	0	50	5	2200880	1.119875e-01	1
