gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ST6GAL2	52131	1042	-22	157320	46320	0	2	0	0	50	12	2717600	2.593127e-01	1
B4GALT3	728669	234	37	108880	35840	0	1	0	0	50	2	2531280	2.593700e-01	1
OR52N1	203856	922	-5	88880	26560	0	1	0	0	50	2	1910840	2.595080e-01	1
RBM4	1432488	187	46	102040	30800	0	1	0	0	50	5	2757920	2.596639e-01	1
KIF18A	316347	482	-11	264720	66600	0	2	0	0	50	3	2554360	2.599482e-01	1
ACSBG2	1332100	417	40	196160	50680	0	2	2	0	46	13	2156960	2.601383e-01	1
LSM5	371992	639	6	28000	7280	0	1	0	0	50	18	2207040	2.607538e-01	1
SNAP23	552242	269	39	63760	15920	0	1	0	0	50	6	2353960	2.608156e-01	1
OR8J1	10293	963	-36	86560	27320	0	1	0	0	50	9	2772640	2.608328e-01	1
AKR1A1	873800	161	27	94200	27240	0	1	0	0	50	3	2395520	2.610977e-01	1
NEK6	483948	406	41	111400	28160	0	1	0	0	50	5	2899720	2.611800e-01	1
ALKBH2	595266	487	20	74000	21880	0	1	0	0	50	5	2212400	2.613608e-01	1
RNF123	1551582	271	48	380800	110840	0	3	1	0	29	4	1683160	2.616047e-01	1
POU5F1B	NaN	NaN	NaN	98400	31200	0	1	0	0	50	11	4485760	2.620340e-01	1
C6orf1	1074764	233	36	44760	14280	0	1	0	0	50	11	1892840	2.622481e-01	1
LRFN5	8637	1309	-33	202320	58800	0	1	0	0	50	10	3035440	2.622602e-01	1
ZNF329	1308496	619	-64	155480	40120	0	2	1	0	37	4	1695760	2.623845e-01	1
PATZ1	723505	237	57	219360	63960	0	2	0	0	50	5	2517120	2.625289e-01	1
SRPK3	2103463	NaN	30	164600	46840	0	1	0	0	50	11	2352440	2.629130e-01	1
OPHN1	186481	NaN	-13	239680	60920	0	1	0	0	50	2	1948160	2.630440e-01	1
EID3	NaN	NaN	NaN	94960	25280	0	1	0	0	50	11	4479840	2.630822e-01	1
DUSP21	66992	NaN	15	53120	15640	0	1	0	0	50	10	2556680	2.631119e-01	1
MAGEA10	191719	NaN	-20	103840	30080	0	1	0	0	50	3	2578800	2.631155e-01	1
MARCH6	627256	164	17	265240	74720	0	3	0	0	50	8	2293440	2.634717e-01	1
FGF17	584373	219	34	62920	17360	0	1	0	0	50	8	2396640	2.636245e-01	1
GPM6A	123418	931	-23	82560	21960	0	1	0	0	50	10	2890000	2.638520e-01	1
UGT2B4	18715	1044	-22	152600	40480	0	2	1	0	50	12	2893480	2.639678e-01	1
SLC25A1	487560	277	18	88880	27280	0	1	0	0	50	6	2247440	2.640071e-01	1
ENTPD7	422578	304	12	173760	49800	0	1	0	0	50	0	2817360	2.643219e-01	1
RASGRP4	1459788	221	4	192800	57520	0	2	0	0	33	1	1384840	2.643518e-01	1
MAGEA1	607570	NaN	18	85720	26360	0	1	0	0	50	4	2263680	2.644929e-01	1
ZNF148	377619	174	43	229560	59520	0	4	0	0	19	1	793960	2.646006e-01	1
TAF9B	549810	NaN	14	73320	20520	0	1	0	0	50	9	2633920	2.646164e-01	1
REPS1	310511	613	16	230760	65280	0	1	0	0	43	8	2639720	2.647475e-01	1
COL4A3BP	253484	500	37	220040	60160	0	1	0	0	50	7	2377960	2.649845e-01	1
KIF16B	108352	867	-26	387400	99080	0	5	0	0	43	4	1750320	2.650955e-01	1
NUDT1	814176	430	38	53720	13720	0	1	0	0	50	8	1973080	2.652130e-01	1
MLNR	321392	424	51	109440	39480	0	1	0	0	50	4	2574360	2.657005e-01	1
ANAPC4	233480	611	44	244680	60480	0	1	0	0	36	0	1513880	2.657986e-01	1
PCDHGA1	662513	568	2	261720	81000	0	3	0	0	23	2	1359440	2.659496e-01	1
OR51E1	212267	935	-3	87000	28320	0	1	0	0	50	6	2398040	2.663132e-01	1
IRF2	207866	400	55	103440	26400	0	1	0	0	50	2	2311560	2.668344e-01	1
RHOU	689585	450	9	72720	21480	0	1	0	0	50	4	1932800	2.668395e-01	1
IL1A	578617	298	38	80560	20240	0	1	0	0	50	6	2075560	2.668916e-01	1
COBLL1	76781	413	-4	334280	92080	0	2	0	0	15	1	882760	2.669136e-01	1
BTK	374364	NaN	37	197520	48720	0	2	0	0	14	0	675360	2.671194e-01	1
ATOH8	1105419	181	46	85800	31080	0	1	0	0	50	7	2442000	2.671467e-01	1
TLR4	58763	944	-8	237920	65440	0	2	0	0	50	12	2601680	2.671877e-01	1
DEDD2	790787	299	37	88160	31480	0	1	0	0	50	8	2863480	2.673181e-01	1
NET1	740293	446	8	180200	51400	0	1	0	0	50	5	1880160	2.673194e-01	1
TMEM38A	980514	362	41	85920	24720	0	1	0	0	50	7	2436640	2.673393e-01	1
ACTN1	609757	344	44	269200	70280	0	1	0	0	50	6	2667800	2.675089e-01	1
ULBP2	423805	245	34	71080	20000	0	1	0	0	50	5	2251160	2.677380e-01	1
PRR7	1038665	261	59	74600	24880	0	1	0	0	50	9	2629600	2.679087e-01	1
FMR1NB	96935	NaN	-13	75680	19120	0	1	0	0	50	5	2400800	2.681632e-01	1
SGPL1	424452	579	30	167040	44520	0	2	0	0	50	7	2151880	2.683155e-01	1
MAPK11	939384	257	70	107080	29840	0	1	0	0	50	2	2201240	2.683479e-01	1
C14orf39	325446	618	0	179800	40040	0	2	0	0	50	7	2425080	2.684679e-01	1
GSTK1	379894	399	14	81440	23560	0	1	0	0	50	6	2571920	2.686552e-01	1
POLR3F	414549	436	23	94960	23000	0	1	0	0	50	7	2827720	2.693489e-01	1
ZSWIM2	278175	629	-5	185960	46360	0	2	0	0	50	8	2690400	2.695361e-01	1
SCN11A	276625	707	18	521280	135840	0	4	0	0	38	1	1855760	2.695973e-01	1
RPL6	715909	201	31	83360	23560	0	1	0	0	50	3	1973400	2.696007e-01	1
MESDC2	265620	516	-2	67040	18760	0	1	0	0	50	6	2157000	2.697573e-01	1
PRSS37	199781	856	-13	68920	17960	0	1	0	0	30	4	1735680	2.704884e-01	1
TMEM99	836683	269	-10	71040	22200	0	1	0	0	50	4	1858120	2.705445e-01	1
LEFTY1	924499	239	8	100960	32840	0	1	0	0	50	2	2099880	2.709614e-01	1
SHROOM2	157955	NaN	-0	446400	140280	0	3	0	0	24	1	1455160	2.712218e-01	1
RWDD2A	153997	734	6	84200	21760	0	1	0	0	50	8	2759400	2.712952e-01	1
